"psu_id","psu_type","sort_key","n_tracts","n_bg_hh","TotHH","age18plus_hh","age18_34_hh","age35_49_hh","age50_64_hh","age65plus_hh","MOS_psu","pik_psu","selected_psu"
"26163500100","single_tract","26163500100",1,2,1492,2752,1087,701,672,292,12.3923450007111,0.229913636376829,FALSE
"26163500200","single_tract","26163500200",1,2,1076,2088,749,554,496,289,9.41254903956381,0.174629852311017,TRUE
"26163500300","single_tract","26163500300",1,2,917,1464,598,375,354,137,6.59487360845672,0.122353870286767,FALSE
"26163500400","single_tract","26163500400",1,3,406,551,143,166,146,96,2.48966565026234,0.046190457333253,FALSE
"26163500500","single_tract","26163500500",1,2,644,1076,402,236,268,170,4.82369839840778,0.0894934767793651,FALSE
"26163500600","single_tract","26163500600",1,4,1178,1860,706,454,474,226,8.36128551650446,0.155125890844239,FALSE
"26163500700","single_tract","26163500700",1,4,1679,2779,1008,778,702,291,12.5432234229121,0.232712864989092,FALSE
"26163500800","single_tract","26163500800",1,2,1009,1784,636,483,471,194,8.04028707103234,0.149170446586871,FALSE
"26163500900","single_tract","26163500900",1,2,1540,2573,940,679,647,307,11.5926262589339,0.21507655396909,TRUE
"26163501000","single_tract","26163501000",1,2,1163,2029,752,497,521,259,9.12056084309209,0.169212631597256,FALSE
"26163501100","single_tract","26163501100",1,4,1345,2287,850,573,514,350,10.2974731630877,0.19104773957491,FALSE
"LPSU_26163501200_26163502000","paired_link","26163501200",2,2,1532,2391,830,630,642,289,10.7644471755769,0.199711450381761,FALSE
"26163501300","single_tract","26163501300",1,3,1308,2175,802,536,491,346,9.7879436267341,0.181594501423638,FALSE
"26163501400","single_tract","26163501400",1,3,1505,2685,867,686,684,448,12.0793186425968,0.224106097265246,TRUE
"26163501500","single_tract","26163501500",1,3,1578,2893,1027,823,701,342,13.0678497478361,0.242446191982116,FALSE
"26163501600","single_tract","26163501600",1,2,907,1467,484,338,413,232,6.5754650106294,0.121993784983848,FALSE
"26163501700","single_tract","26163501700",1,2,1045,1765,481,401,465,418,7.90838167364585,0.146723222145563,FALSE
"26163501800","single_tract","26163501800",1,2,1896,3202,979,759,852,612,14.3669151934467,0.266547591715152,FALSE
"26163501900","single_tract","26163501900",1,2,1112,1720,591,475,441,213,7.75760409410798,0.143925864454694,TRUE
"26163502600","single_tract","26163502600",1,5,1546,2318,747,563,514,494,10.4238441619821,0.193392285008944,FALSE
"26163502700","single_tract","26163502700",1,4,1278,1852,506,429,560,357,8.29229887313132,0.153845990225071,FALSE
"26163503100","single_tract","26163503100",1,2,1122,2221,708,506,611,396,9.95306186999906,0.184657919666031,FALSE
"26163503200","single_tract","26163503200",1,2,1202,2068,783,572,498,215,9.33534305237172,0.173197459227676,FALSE
"26163503300","single_tract","26163503300",1,2,1360,2308,805,644,547,312,10.419943973504,0.193319925296919,FALSE
"LPSU_26163503400_26163503600","paired_link","26163503400",2,2,1137,1753,580,451,428,294,7.89128950623634,0.146406113288244,TRUE
"26163503500","single_tract","26163503500",1,3,1239,1937,681,510,473,273,8.72737654574704,0.161917932203099,FALSE
"LPSU_26163503900_26163504200","paired_link","26163503900",2,2,1701,2483,823,580,610,470,11.1463678827332,0.206797177787259,FALSE
"26163504000","single_tract","26163504000",1,2,469,772,249,215,168,140,3.48639050729977,0.0646825697087156,FALSE
"26163504100","single_tract","26163504100",1,2,611,895,266,208,250,171,4.01156134162728,0.0744259989170182,FALSE
"26163504300","single_tract","26163504300",1,3,912,1402,428,342,353,279,6.29842766436303,0.116853945535492,FALSE
"26163504400","single_tract","26163504400",1,3,715,1045,313,283,278,171,4.70686323327596,0.087325848483784,FALSE
"26163505100","single_tract","26163505100",1,3,1441,2253,692,495,637,429,10.0833676662245,0.187075466905835,TRUE
"26163505200","single_tract","26163505200",1,2,1340,2204,731,506,548,419,9.88841190041566,0.183458476816617,FALSE
"26163505400","single_tract","26163505400",1,2,900,1417,459,352,351,255,6.37107848753637,0.11820182722702,FALSE
"26163505600","single_tract","26163505600",1,3,1794,2992,980,706,806,500,13.4244142704225,0.249061489247171,FALSE
"26163505700","single_tract","26163505700",1,4,1635,2299,611,540,631,517,10.3059920296165,0.191205789046688,FALSE
"26163505800","single_tract","26163505800",1,4,1199,2221,857,555,470,339,10.0050468763026,0.185622391026022,FALSE
"LPSU_26163506100_26163506200","paired_link","26163506100",2,2,1522,2732,954,642,669,467,12.2685484324579,0.22761685403447,TRUE
"26163506300","single_tract","26163506300",1,2,826,1361,444,332,344,241,6.1152826417541,0.113456078696737,FALSE
"26163506400","single_tract","26163506400",1,2,342,697,206,179,209,103,3.13086139105131,0.0580864822087442,FALSE
"26163506500","single_tract","26163506500",1,2,932,1459,423,362,408,266,6.5509257387401,0.121538510922822,FALSE
"26163506600","single_tract","26163506600",1,2,1257,1970,629,468,529,344,8.84011454956021,0.16400954637403,FALSE
"LPSU_26163506700_26163507200","paired_link","26163506700",2,2,976,1520,438,372,408,302,6.82445146223037,0.126613199670322,FALSE
"26163506800","single_tract","26163506800",1,2,1637,2899,920,701,745,533,13.019795601149,0.241554649371967,FALSE
"26163506900","single_tract","26163506900",1,3,1459,2551,850,633,579,489,11.4779164460506,0.212948357069584,TRUE
