"psu_id","bg_oper_id","n_bg_combined","TotHH","age18plus","age18_34","age35_49","age50_64","age65plus","MOS_bg_oper","pik_bg","selected_bg"
"26163500200","261635002001",1,312,608,211,160,149,88,2.7391762938915,0.291013229506472,TRUE
"26163500200","261635002002",1,764,1480,538,394,347,201,6.67337274567231,0.708986770493528,FALSE
"26163500900","261635009001",1,661,1154,427,289,302,136,5.18980433215154,0.447681501691817,TRUE
"26163500900","261635009002",1,879,1419,513,390,345,171,6.4028219267824,0.552318498308183,FALSE
"26163501400","261635014001",1,652,1237,381,344,295,217,5.58164779646026,0.462083000011029,FALSE
"26163501400","261635014002",1,412,709,238,185,189,97,3.19086707232132,0.264159524782215,TRUE
"26163501400","261635014003",1,441,739,248,157,200,134,3.30680377381519,0.273757475206756,FALSE
"26163501900","261635019001",1,502,747,265,211,190,81,3.37217238241332,0.434692508344752,FALSE
"26163501900","261635019002",1,610,973,326,264,251,132,4.38543171169466,0.565307491655248,TRUE
"26163505100","261635051001",1,689,931,296,206,267,162,4.1673720808374,0.413291691703013,FALSE
"26163505100","261635051002",1,234,304,86,69,80,69,1.36223767894687,0.135097491635642,FALSE
"26163505100","261635051003",1,518,1018,310,220,290,198,4.55375790644025,0.451610816661345,TRUE
"26163506900","261635069001",1,430,760,255,172,187,146,3.40891093717064,0.29699736473893,FALSE
"26163506900","261635069002",1,611,1117,382,284,247,204,5.03071326098734,0.438294988871292,FALSE
"26163506900","261635069003",1,418,674,213,177,145,139,3.03829224789257,0.264707646389778,TRUE
"26163508000","LBG_261635080001_261635080002",2,629,835,270,210,270,85,3.74664938306996,1,TRUE
"26163511400","261635114001",1,678,832,261,176,206,189,3.72449310966861,0.497807914280055,FALSE
"26163511400","261635114002",1,625,843,247,154,230,212,3.75729454944301,0.502192085719945,TRUE
"26163513900","261635139001",1,453,612,169,116,182,145,2.72732020645215,0.523857445338699,TRUE
"26163513900","261635139002",1,452,553,211,122,143,77,2.47890570618866,0.476142554661301,FALSE
"26163515700","261635157001",1,1429,1663,551,278,358,476,7.41500748372954,0.379046209092525,TRUE
"26163515700","261635157002",1,1512,1623,327,186,486,624,7.16372192480993,0.366200795420702,FALSE
"26163515700","261635157003",1,965,1131,170,114,324,523,4.98354903102549,0.254752995486773,FALSE
"26163516700","261635167001",1,629,820,204,107,214,295,3.6323190479113,0.312676311172386,TRUE
